S.No.,Symbol,Buy / Sell,Quantity,Profit/Price Gap % ,Margin price min/max,stop loss %,Stock Price,Active,Close Position,First Time
1,AMBUJACEM,buy,1,0.5,0.1,0,271.2,No,No,Yes
2,ASIANPAINT,buy,1,0.5,0.5,0,2387.05,No,No,Yes
3,AXISBANK,buy,1,0.5,0.15,0,752.8,No,No,Yes
4,BERGEPAINT,buy,1,0.5,0.15,0,729.85,No,No,Yes
5,BHARTIARTL,buy,10,0.3,0.1,0,524,Yes,No,Yes
6,BPCL,buy,10,0.3,0.1,0,418.8,Yes,No,Yes
7,BRITANNIA,sell,1,0.5,0.5,0,3341.2,No,No,Yes
8,COALINDIA,sell,1,0.5,0.1,0,154.65,No,No,Yes
9,DABUR,sell,10,0.3,0.1,0,500.35,Yes,No,Yes
10,GAIL,sell,1,0.5,0.1,0,144.8,No,No,Yes
11,GAIL,sell,1,0.5,0.5,0,147,No,No,Yes
12,GNFC,sell,1,0.5,0.1,0,224.35,No,No,Yes
13,HCLTECH,buy,1,0.5,0.15,0,911.45,No,No,Yes
14,HERANBA,sell,1,0.5,0.5,0,787,No,No,Yes
15,ICICIBANK,buy,1,0.3,0.1,0,614.05,No,No,Yes
16,IDBI,sell,1,0.5,0.5,0,38.35,No,No,Yes
17,INDIANOIL,sell,1,0.5,0.1,0,97.9,No,No,Yes
18,INDIGO,buy,1,0.5,0.25,0,"1,530.00",No,No,Yes
19,INFY,buy,5,0.3,0.2,0,1265.2,Yes,No,Yes
20,IOC,sell,1,0.5,0.1,0,100.9,No,No,Yes
21,ITC,buy,1,0.3,0.1,0,419.15,No,No,Yes
22,JSWSTEEL,buy,1,0.5,0.1,0,407,No,No,Yes
23,M&M,buy,,,,,859.45,,,
24,NIACL,sell,1,0.5,0.5,0,160,No,No,Yes
25,NMDC,sell,1,0.5,0.5,0,132.7,No,No,Yes
26,NTPC,sell,1,0.5,0.1,0,101,No,No,Yes
27,ONGC,sell,1,0.5,0.1,0,117.65,No,No,Yes
28,ONMOBILE,buy,,,,,107.25,,,
29,RAMCOCEM,sell,5,0.3,0.2,0,1006,Yes,No,Yes
30,RELIANCE,sell,1,0.5,0.5,0,"2,026.15",No,No,Yes
31,SBIN,buy,1,0.3,0.1,0,387.95,No,No,Yes
32,TATAMOTORS,buy,15,0.3,0.1,0,321.2,Yes,No,Yes
33,TATAPOWER,buy,20,0.3,0.1,0,113,Yes,No,Yes
34,TITAN,buy,4,0.2,0.25,0,"1,426.80",Yes,No,Yes
35,UPL,buy,1,0.5,0.1,0,555,No,No,Yes
36,WIPRO,buy,1,0.5,0.1,0,418.7,No,No,Yes
37,YESBANK,buy,1,0.5,0.1,0,16.8,No,No,Yes
35,RELIANCE,buy,4,0.2,0.25,0,"2,136.90",Yes,No,Yes
36,TATASTEEL,sell,10,0.3,0.1,0,720.85,Yes,No,Yes
